Name,State,Country,lat,lng
Amity University Noida,Noida,India,,
Bradley University,Peoria,,,
Cochin University of Science and Technology,Kochi,India,,
IIIT Hyderabad,Hyderabad,India,,
IIT KANPUR,kanpur,India,,
Illinois Institute of Technology,Tamil Nadu,India,,
Indian Institute Of Technology,Tamil NaduIndia,,,
Indira Gandhi National Open University,New Delhi,India,,
Jadavpur University,Kolkata,India,,
Kharkiv State Academy of Municipal Economy,,Ukraine,,
Kokshetau Institute of Economics and Management,Kokshetau,,,
Madras university,Tamil Nadu,India,,
Monash University,,Malaysia,,
Northeastern University,Boston,,,
Pondicherry University,,India,,
Sathyabama University,Tamil Nadu,India,,
SRM Institute of science and technology,Tamil Nadu,India,,
Technion,Haifa,Israel,,
The University of British Columbia,Vancouver,Canada,,
Tufts University,,Massachusetts,,
University of Hong Kong,,Hong Kong,,
University of Maryland,,United States,,
University Of Mumbai,Mumbai,India,,
University of Piraeus,,Athens,,
University of Washington,,,,
Vernadsky University,Kyiv,,,
Viswakarma Institute,Pune,India,,
Warsaw University of Technology,,Poland,,
Western University,,London,,